"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G29046MX","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G79302PB","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G79302PB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G01654FP","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G01654FP","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G55479DB","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G55479DB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G70421YZ","N-linked","Subsumption","G03605AV","Core-fucosylated","Subsumption","G03605AV"
"G70421YZ","N-linked","Subsumption","G03605AV","Complex","Subsumption","G03605AV"
"G12080OQ","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G27006LO","Glycosphingolipid","GlycoMotif","GGM.001106","Neo-lacto series","GlycoMotif","GGM.001107"
"G27006LO","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G79037RU","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G79037RU","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G98425JK","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G98425JK","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G37626KE","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G18743DS","N-linked","Subsumption","G38946SH","Bisected","Subsumption","G38946SH"
"G18743DS","N-linked","Subsumption","G38946SH","Core-fucosylated","Subsumption","G10470SE"
"G18743DS","N-linked","Subsumption","G38946SH","Complex","Subsumption","G10034LM"
"G42438ZG","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G42438ZG","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G87721BR","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G87721BR","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G83519QC","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G42859ED","N-linked","Subsumption","G44513XM","Bisected","Subsumption","G44513XM"
"G42859ED","N-linked","Subsumption","G44513XM","Truncated","Subsumption","G35503EE"
"G42859ED","Glycosphingolipid","Subsumption","G24675SB","Neo-lacto series","Subsumption","G24675SB"
"G42859ED","Glycosphingolipid","Subsumption","G24675SB","Lacto series","Subsumption","G24675SB"
"G42859ED","Glycosphingolipid","Subsumption","G24675SB","Ganglio series","Subsumption","G24675SB"
"G42859ED","O-linked","Subsumption","G48934IR","Core 7","Subsumption","G48934IR"
"G42859ED","O-linked","Subsumption","G48934IR","Core 5","Subsumption","G48934IR"
"G48480DJ","O-linked","Subsumption","G02684WR","Core 1","Subsumption","G02684WR"
"G02938HM","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G70933VJ","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G21312EA","O-linked","GlycoMotif","GGM.001016","Core 6","GlycoMotif","GGM.001016"
